I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.060,4.500,1,20,117.000,1919.030,22.500,106.800,55.240,12.850,
0.060,4.500,2,20,147.000,1760.080,24.200,135.700,53.830,14.750,
0.060,4.500,3,20,101.000,1931.230,22.500,90.700,50.310,12.740,
0.060,4.500,4,20,112.000,2035.200,22.500,103.700,44.140,12.910,
0.060,4.500,5,20,125.000,1835.090,22.500,114.500,59.920,12.210,
0.060,4.500,6,20,141.000,1941.750,22.500,131.500,59.670,14.380,
0.060,4.500,7,20,118.000,1654.850,22.500,107.700,49.240,12.160,
0.060,4.500,8,20,114.000,1480.540,22.500,103.500,50.420,11.610,
0.060,4.500,9,20,107.000,1774.270,22.500,95.400,53.210,12.900,
0.060,5.000,0,20,126.000,1732.260,25.000,114.500,50.710,13.570,
0.060,5.000,1,20,130.000,1919.030,25.000,117.100,67.880,14.350,
0.060,5.000,2,20,156.000,1760.080,26.600,144.200,57.080,16.380,
0.060,5.000,3,20,116.000,1931.230,25.000,105.400,53.950,14.130,
0.060,5.000,4,20,117.000,2035.200,25.000,108.600,48.130,14.250,
0.060,5.000,5,20,128.000,1835.090,25.000,117.400,63.340,13.850,
0.060,5.000,6,20,147.000,1941.750,25.000,137.500,60.710,16.190,
0.060,5.000,7,20,126.000,1654.850,25.000,115.700,53.100,13.710,
0.060,5.000,8,20,126.000,1480.540,25.000,115.700,55.670,12.830,
0.060,5.000,9,20,114.000,1774.270,25.000,103.300,54.910,14.420,
0.060,5.500,0,20,132.000,1732.260,27.500,120.500,53.890,15.080,
0.060,5.500,1,20,139.000,1919.030,27.600,126.200,75.290,15.640,
0.060,5.500,2,20,163.000,1760.080,29.200,151.100,64.660,18.340,
0.060,5.500,3,20,127.000,1931.230,27.500,114.300,62.890,15.610,
0.060,5.500,4,20,121.000,2035.200,27.500,112.700,58.480,15.860,
0.060,5.500,5,20,131.000,1835.090,28.000,120.100,70.380,15.450,
0.060,5.500,6,20,152.000,1941.750,27.500,143.000,66.450,17.870,
0.060,5.500,7,20,137.000,1654.850,27.500,126.200,56.760,15.190,
0.060,5.500,8,20,129.000,1480.540,27.700,118.100,60.290,14.060,
0.060,5.500,9,20,131.000,1774.270,29.300,121.600,63.200,15.720,
0.060,6.000,0,20,138.000,1732.260,30.000,126.900,57.120,18.240,
0.060,6.000,1,20,155.000,1919.030,30.400,142.200,87.000,20.040,
0.060,6.000,2,20,169.000,1760.080,31.600,157.200,66.640,21.940,
0.060,6.000,3,20,131.000,1931.230,30.000,118.100,65.470,18.900,
0.060,6.000,4,20,126.000,2035.200,30.000,117.200,63.260,19.330,
0.060,6.000,5,20,132.000,1835.090,30.100,122.000,73.700,18.600,
0.060,6.000,6,20,158.000,1941.750,30.000,148.600,70.990,21.130,
0.060,6.000,7,20,146.000,1654.850,30.000,135.100,62.840,18.090,
0.060,6.000,8,20,187.000,1480.540,30.000,177.900,68.110,17.510,
0.060,6.000,9,20,133.000,1774.270,30.000,124.000,64.450,17.650,
0.060,6.500,0,20,143.000,1732.260,32.500,131.300,62.160,17.110,
0.060,6.500,1,20,181.000,1919.030,33.100,169.400,92.700,17.250,
0.060,6.500,2,20,175.000,1760.080,34.000,163.100,69.740,19.240,
0.060,6.500,3,20,133.000,1931.230,32.500,120.300,68.160,17.100,
0.060,6.500,4,20,130.000,2035.200,32.500,121.100,65.310,17.350,
0.060,6.500,5,20,144.000,1835.090,33.000,133.700,78.580,17.090,
0.060,6.500,6,20,163.000,1941.750,32.500,153.400,75.400,18.760,
0.060,6.500,7,20,161.000,1654.850,32.500,150.600,64.330,16.560,
0.060,6.500,8,20,195.000,1480.540,32.500,185.200,76.680,16.080,
0.060,6.500,9,20,136.000,1774.270,32.500,126.400,71.140,16.790,
0.060,7.000,0,20,146.000,1732.260,35.000,134.100,63.660,15.610,
0.060,7.000,1,20,203.000,1919.030,36.000,193.900,104.740,13.670,
0.060,7.000,2,20,185.000,1760.080,35.000,173.300,73.300,15.330,
0.060,7.000,3,20,136.000,1931.230,35.300,123.900,69.990,13.470,
0.060,7.000,4,20,136.000,2035.200,35.000,127.500,77.660,13.540,
0.060,7.000,5,20,170.000,1835.090,35.600,159.000,84.060,13.000,
0.060,7.000,6,20,177.000,1941.750,35.300,167.200,80.070,14.650,
0.060,7.000,7,20,163.000,1654.850,35.000,152.500,72.680,12.740,
0.060,7.000,8,20,207.000,1480.540,35.000,197.300,84.530,11.830,
0.060,7.000,9,20,170.000,1774.270,35.000,159.400,78.120,12.320,
0.070,3.000,0,20,82.000,1732.260,16.200,70.600,35.440,11.330,
0.070,3.000,1,20,95.000,1919.030,15.000,83.000,37.560,10.280,
0.070,3.000,2,20,133.000,1760.080,15.200,121.200,37.880,11.060,
0.070,3.000,3,20,88.000,1931.230,15.000,77.000,40.150,9.930,
0.070,3.000,4,20,65.000,2035.200,15.200,52.200,29.920,9.990,
0.070,3.000,5,20,98.000,1835.090,15.000,85.700,36.910,9.650,
