I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.060,5.500,1,20,182.000,1919.030,27.600,173.000,95.530,15.820,
0.060,5.500,2,20,173.000,1760.080,29.400,161.800,74.420,17.920,
0.060,5.500,3,20,153.000,1931.230,28.700,144.700,83.210,15.980,
0.060,5.500,4,20,136.000,2035.200,27.500,127.100,72.580,16.120,
0.060,5.500,5,20,158.000,1835.090,28.100,146.300,89.600,15.740,
0.060,5.500,6,20,164.000,1941.750,27.500,154.400,82.420,17.470,
0.060,5.500,7,20,160.000,1654.850,27.500,149.300,76.660,15.290,
0.060,5.500,8,20,192.000,1480.540,27.700,182.100,83.670,14.780,
0.060,5.500,9,20,160.000,1774.270,30.700,149.900,81.580,15.820,
0.060,6.000,0,20,163.000,1732.260,30.000,151.900,70.700,16.100,
0.060,6.000,1,20,189.000,1919.030,30.400,177.800,101.180,16.320,
0.060,6.000,2,20,185.000,1760.080,31.600,173.700,81.130,18.600,
0.060,6.000,3,20,169.000,1931.230,30.100,160.100,91.320,16.410,
0.060,6.000,4,20,143.000,2035.200,30.100,134.200,82.560,16.510,
0.060,6.000,5,20,165.000,1835.090,39.800,152.700,96.510,15.920,
0.060,6.000,6,20,180.000,1941.750,30.000,170.600,89.740,18.030,
0.060,6.000,7,20,175.000,1654.850,30.000,165.000,83.470,15.610,
0.060,6.000,8,20,206.000,1480.540,30.000,196.200,90.780,14.870,
0.060,6.000,9,20,164.000,1774.270,32.600,153.400,86.090,16.000,
0.060,6.500,0,20,173.000,1732.260,32.500,161.500,73.570,15.570,
0.060,6.500,1,20,199.000,1919.030,34.200,188.700,109.470,13.820,
0.060,6.500,2,20,229.000,1760.080,34.000,217.400,91.390,15.110,
0.060,6.500,3,20,175.000,1931.230,32.500,167.000,91.470,13.640,
0.060,6.500,4,20,165.000,2035.200,32.500,154.500,92.850,13.800,
0.060,6.500,5,20,171.000,1835.090,35.100,159.800,104.170,13.100,
0.060,6.500,6,20,189.000,1941.750,32.500,179.500,95.380,14.540,
0.060,6.500,7,20,184.000,1654.850,32.500,173.300,96.890,12.550,
0.060,6.500,8,20,218.000,1480.540,32.500,208.500,92.490,11.900,
0.060,6.500,9,20,168.000,1774.270,32.500,157.900,93.510,12.570,
0.060,7.000,0,20,178.000,1732.260,35.000,166.800,78.840,11.710,
0.060,7.000,1,20,216.000,1919.030,36.800,204.200,118.380,12.350,
0.060,7.000,2,20,233.000,1760.080,35.000,221.300,97.740,13.910,
